Name,Park,Country,Type,Duration,Speed,Height,Drop,Length,Inversion
Millennium Force,Cedar Point,USA,Steel,165,93,310,300,6595,No
Goliath,Six Flags Magic Mountain,USA,Steel,180,85,235,255,4500,No
Titan,Six Flags Over Texas,USA,Steel,210,85,245,255,5312,No
Phantom's Revenge,Kennywood Park,USA,Steel,*,82,160,228,3200,No
Xcelerator,Knott's Berry Farm,USA,Steel,62,82,205,130,2202,No
Desperado,Buffalo Bill's Resort & Casino,USA,Steel,163,80,209,225,5843,No
HyperSonic XLC,Paramount's Kings Dominion,USA,Steel,*,80,165,133,1560,No
Nitro,Six Flags Great Adventure,USA,Steel,240,80,230,215,5394,No
Phantom's Revenge,Kennywood Park,USA,Steel,*,80,160,225,3000,Yes
Son Of Beast,Paramount's Kings Island,USA,Wooden,*,78.4,218,214,7032,Yes
Superman - Ride Of Steel,Six Flags New England,USA,Steel,155,77,208,221,5400,No
X,Six Flags Magic Mountain,USA,Steel,*,76,175,215,3610,Yes
Mamba,Worlds of Fun,USA,Steel,180,75,205,205,5600,No
Steel Force,Dorney Park,USA,Steel,180,75,200,205,5600,No
Wild Thing,Valleyfair!,USA,Steel,180,74,207,196,5460,No
Apollo's Chariot,Busch Gardens Williamsburg,USA,Steel,135,73,170,210,4882,No
Raging Bull,Six Flags Great America,USA,Steel,150,73,202,208,5057,No
Rattler,Six Flags Fiesta Texas,USA,Wooden,146,73,179.5,166.5,5080,No
Superman - Ride Of Steel,Six Flags Darien Lake,USA,Steel,200,73,208,205,5400,No
Magnum XL-200,Cedar Point,USA,Steel,120,72,205,194.6,5106,No
Viper,Six Flags Magic Mountain,USA,Steel,150,70,188,171,3830,Yes
"Volcano, The Blast Coaster",Paramount's Kings Dominion,USA,Steel,*,70,155,80,2757,Yes
Great American Scream Machine,Six Flags Great Adventure,USA,Steel,140,68,173,155,3800,Yes
Alpengeist,Busch Gardens Williamsburg,USA,Steel,190,67,195,170,3828,Yes
Incredible Hulk,Universal Studios Islands of Adventure,USA,Steel,135,67,110,105,3700,Yes
Manhattan Express,"New York, New York Hotel & Casino",USA,Steel,160,67,203,144,4777,Yes
Boss,Six Flags St. Louis,USA,Wooden,*,66.3,122,150,5051,No
American Eagle,Six Flags Great America,USA,Wooden,143,66,127,147,4650,No
Wildfire,Silver Dollar City,USA,Steel,136,66,120,155,3073,Yes
Deja Vu,Six Flags Great America,USA,Steel,92,65.6,191.5,177,1204,Yes
Batman Knight Flight,Six Flags Worlds of Adventure,USA,Steel,*,65,157,148,4210,Yes
Hercules,Dorney Park,USA,Wooden,135,65,95,151,4000,No
Kraken,SeaWorld Orlando,USA,Steel,219,65,149,144,4177,Yes
Mean Streak,Cedar Point,USA,Wooden,193,65,161,155,5427,No
Medusa,Six Flags Marine World,USA,Steel,195,65,150,150,3937,Yes
Orient Express,Worlds of Fun,USA,Steel,150,65,117,115,3470,Yes
Rattler,Six Flags Fiesta Texas,USA,Wooden,146,65,179.5,124,5080,No
Riddler's Revenge,Six Flags Magic Mountain,USA,Steel,180,65,156,146,4370,Yes
Steel Eel,SeaWorld Of Texas,USA,Steel,180,65,150,150,3700,No
Texas Giant,Six Flags Over Texas,USA,Wooden,150,65,143,137,4920,No
Beast,Paramount's Kings Island,USA,Wooden,220,64.8,105,141,7400,No
Chang,Six Flags Kentucky Kingdom,USA,Steel,180,63,154,144,4155,Yes
Scream!,Six Flags Magic Mountain,USA,Steel,180,63,150,141,3985,Yes
Tennessee Tornado,Dollywood,USA,Steel,108,63,163,128,2682,Yes
Colossus,Six Flags Magic Mountain,USA,Wooden,150,62,125,115,4325,No
Screamin' Eagle,Six Flags St. Louis,USA,Wooden,150,62,110,92,3872,No
Hangman,Wild Adventures,USA,Steel,125,55,115,95,2170,Yes
Hurricane,Myrtle Beach Pavilion,USA,Wooden,120,55,101.5,100,3800,No
Invertigo,Paramount's Great America,USA,Steel,90,55,138,138,985,Yes
Iron Wolf,Six Flags Great America,USA,Steel,120,55,100,90,2900,Yes
Kong,Six Flags Marine World,USA,Steel,125,55,115,95,2170,Yes
Mind Eraser,Six Flags America,USA,Steel,125,55,115,95,2170,Yes
Silver Bullet,Frontier City,USA,Steel,75,55,83,75,1942,Yes
Starliner,Miracle Strip Amusement Park,USA,Wooden,*,55,70,76,2640,No
T2,Six Flags Kentucky Kingdom,USA,Steel,125,55,115,95,2170,Yes
Thunderbolt,Kennywood Park,USA,Wooden,90,55,70,95,2887,No
Timber Wolf,Worlds of Fun,USA,Wooden,133,53,100,95,4230,No
Wild One,Six Flags America,USA,Wooden,150,53,98,88,4000,No
Cheetah,Wild Adventures,USA,Wooden,*,52,92,90,2680,No
Cannon Ball,Lake Winnepesaukah,USA,Wooden,*,50,70,70,2272,No
Coaster Thrill Ride,Puyallup Fair,USA,Wooden,105,50,55,52,2650,No
Comet,Hersheypark,USA,Wooden,105,50,84,78,3360,No
New Mexico Rattler,Cliff's Amusement Park,USA,Wooden,75,47,80,75,2750,No
Corkscrew,Silverwood Theme Park,USA,Steel,*,46,70,62,1250,Yes
Afterburner,Fun Spot,USA,Steel,66,45,56,47,635,Yes
Whizzer,Six Flags Great America,USA,Steel,120,42,70,64,3100,No
Canyon Blaster,Adventuredome,USA,Steel,60,41,94,66,2423,Yes
Blue Streak,Cedar Point,USA,Wooden,105,40,78,72,2558,No
Steel Dragon 2000,Nagashima Spa Land,Japan,Steel,*,95,318.25,306.75,8133.1,No
Fujiyama,Fuji-Q Highlands,Japan,Steel,216,80.8,259.2,229.7,6708.67,No
Thunder Dolphin,LaQua,Japan,Steel,*,80.8,262.5,218.1,3500,No
Titan,Space World,Japan,Steel,180,71.5,166,178,5019.67,No
Oblivion,Alton Towers,England,Steel,*,68,65,180,1222,No
Stunt Fall,Warner Bros. Movie World,Spain,Steel,92,65.6,191.6,177,1204,Yes
Hayabusa,Tokyo SummerLand,Japan,Steel,108,60.3,137.8,124.67,2559.1,No
Top Gun,Paramount Canada's Wonderland,Canada,Steel,125,56,102,93,2170,Yes
