t,Day,DJIA
0,Tuesday,12397.38
1,Wednesday,12418.42
2,Thursday,12415.7
3,Friday,12359.92
4,Monday,12392.69
5,Tuesday,12462.47
6,Wednesday,12449.45
7,Thursday,12471.02
8,Friday,12422.06
9,Tuesday,12482.07
10,Wednesday,12578.95
11,Thursday,12623.98
12,Friday,12720.48
13,Monday,12708.82
14,Tuesday,12675.75
15,Wednesday,12756.96
16,Thursday,12734.63
17,Friday,12660.46
18,Monday,12653.72
19,Tuesday,12632.91
20,Wednesday,12716.46
21,Thursday,12705.41
22,Friday,12862.23
23,Monday,12845.13
24,Tuesday,12878.2
25,Wednesday,12883.95
26,Thursday,12890.46
27,Friday,12801.23
28,Monday,12874.04
29,Tuesday,12878.28
30,Wednesday,12780.95
31,Thursday,12904.08
32,Friday,12949.87
33,Tuesday,12965.69
34,Wednesday,12938.67
35,Thursday,12984.69
36,Friday,12982.95
37,Monday,12981.51
38,Tuesday,13005.12
39,Wednesday,12952.07
40,Thursday,12980.3
41,Friday,12977.57
42,Monday,12962.81
43,Tuesday,12759.15
44,Wednesday,12837.33
45,Thursday,12907.94
46,Friday,12922.02
47,Monday,12959.71
48,Tuesday,13177.68
49,Wednesday,13194.1
50,Thursday,13252.76
51,Friday,13232.62
52,Monday,13239.13
53,Tuesday,13170.19
54,Wednesday,13124.62
55,Thursday,13046.14
56,Friday,13080.73
57,Monday,13241.63
58,Tuesday,13197.73
59,Wednesday,13126.21
60,Thursday,13145.82
61,Friday,13212.04
62,Monday,13264.49
63,Tuesday,13199.55
64,Wednesday,13074.75
65,Thursday,13060.14
66,Monday,12929.59
67,Tuesday,12715.93
68,Wednesday,12805.39
69,Thursday,12986.58
70,Friday,12849.59
71,Monday,12921.41
72,Tuesday,13115.54
73,Wednesday,13032.75
74,Thursday,12964.1
75,Friday,13029.26
76,Monday,12927.17
77,Tuesday,13001.56
78,Wednesday,13090.72
79,Thursday,13204.62
80,Friday,13228.31
81,Monday,13213.63
82,Tuesday,13279.32
83,Wednesday,13268.57
84,Thursday,13206.59
85,Friday,13038.27
86,Monday,13008.53
87,Tuesday,12932.09
88,Wednesday,12835.06
89,Thursday,12855.04
90,Friday,12820.6
91,Monday,12695.35
92,Tuesday,12632
93,Wednesday,12598.55
94,Thursday,12442.49
95,Friday,12369.38
96,Monday,12504.48
97,Tuesday,12502.81
98,Wednesday,12496.15
99,Thursday,12529.75
100,Friday,12454.83
101,Tuesday,12580.69
102,Wednesday,12419.86
103,Thursday,12393.45
104,Friday,12118.57
105,Monday,12101.46
106,Tuesday,12127.95
107,Wednesday,12414.79
108,Thursday,12460.96
109,Friday,12554.2
110,Monday,12411.23
111,Tuesday,12573.8
112,Wednesday,12496.38
113,Thursday,12651.91
114,Friday,12767.17
115,Monday,12741.82
116,Tuesday,12837.33
117,Wednesday,12824.39
118,Thursday,12573.57
119,Friday,12640.78
120,Monday,12502.66
121,Tuesday,12534.67
122,Wednesday,12627.01
123,Thursday,12602.26
124,Friday,12880.09
125,Monday,12871.39
126,Tuesday,12943.66
127,Thursday,12896.67
128,Friday,12772.47
129,Monday,12736.29
130,Tuesday,12653.12
131,Wednesday,12604.53
132,Thursday,12573.27
133,Friday,12777.09
134,Monday,12727.21
135,Tuesday,12805.54
136,Wednesday,12908.7
137,Thursday,12943.36
138,Friday,12822.57
139,Monday,12721.46
140,Tuesday,12617.32
141,Wednesday,12676.05
142,Thursday,12887.93
143,Friday,13075.66
144,Monday,13073.01
145,Tuesday,13008.68
146,Wednesday,12976.13
147,Thursday,12878.88
